file,values
01630.txt,"[""'die"", ""'military"", ""'murder"", ""'security""]"
02346.txt,"[""'attack"", ""'guns"", ""'guns"", ""'murder"", ""'suffering"", ""'vicious"", ""'violence"", ""'weapons""]"
00346.txt,"[""'conspiracy"", ""'satellite"", ""'strategy""]"
00712.txt,"[""'conspiracy"", ""'death"", ""'security""]"
00805.txt,"[""'death"", ""'strategist"", ""'war""]"
00792.txt,"[""'seize"", ""'strategy"", ""'suffering"", ""'target""]"
04221.txt,"[""'land"", ""'notorious"", ""'strategy""]"
04188.txt,"[""'fight"", ""'kill"", ""'tactics"", ""'threat"", ""'violence""]"
02463.txt,"[""'attack"", ""'death"", ""'guns"", ""'machine"", ""'guns"", ""'war""]"
00172.txt,"[""'escape"", ""'land"", ""'security"", ""'strategic""]"
02959.txt,"[""'dead"", ""'death"", ""'land"", ""'military"", ""'rebellion"", ""'violence""]"
03752.txt,"[""'satellite"", ""'strategic"", ""'strategy""]"
00598.txt,"[""'bomb"", ""'security"", ""'terrorism"", ""'threat""]"
02248.txt,"[""'kill"", ""'outbreak"", ""'security"", ""'weapon""]"
03557.txt,"[""'attack"", ""'warfare"", ""'military"", ""'militia"", ""'mission"", ""'security"", ""'threat"", ""'violence"", ""'weapons""]"
02005.txt,"[""'coalition"", ""'fight"", ""'land"", ""'military"", ""'tragic"", ""'war""]"
01030.txt,"[""'deadly"", ""'escape"", ""'explosion""]"
02201.txt,"[""'die"", ""'disease"", ""'fight"", ""'mission""]"
02303.txt,"[""'dead"", ""'land"", ""'secret"", ""'treachery"", ""'war""]"
01504.txt,"[""'assault"", ""'attack"", ""'coalition"", ""'dead"", ""'death"", ""'devastation"", ""'disaster"", ""'fight"", ""'fighter"", ""'guided"", ""'guns"", ""'land"", ""'guns"", ""'military"", ""'missile"", ""'security"", ""'surrender"", ""'terrorist"", ""'threaten"", ""'war""]"
04464.txt,"[""'disaster"", ""'murder"", ""'target""]"
00416.txt,"[""'disaster"", ""'escape"", ""'security"", ""'strategic""]"
01573.txt,"[""'explode"", ""'fight"", ""'strategy""]"
00360.txt,"[""'capture"", ""'coalition"", ""'machine""]"
03501.txt,"[""'attack"", ""'brutal"", ""'death"", ""'land"", ""'rebellion"", ""'retaliation"", ""'suffering"", ""'terror""]"
01672.txt,"[""'fighter"", ""'military"", ""'security""]"
03703.txt,"[""'attack"", ""'coalition"", ""'fight"", ""'hostility"", ""'informant""]"
01879.txt,"[""'coalition"", ""'fight"", ""'strategy"", ""'threaten""]"
01786.txt,"[""'warfare"", ""'strategist"", ""'target"", ""'threat""]"
04083.txt,"[""'security"", ""'terrorism"", ""'weapon""]"
01496.txt,"[""'massacre"", ""'military"", ""'threat"", ""'weapons""]"
04163.txt,"[""'bomb"", ""'dead"", ""'disaster"", ""'explosion"", ""'explosive"", ""'missile"", ""'terrorism"", ""'terrorist"", ""'wreckage""]"
01691.txt,"[""'bomb"", ""'disaster"", ""'bombs"", ""'guns"", ""'guns"", ""'security"", ""'terrorism"", ""'threat""]"
00391.txt,"[""'injuries"", ""'military"", ""'tank"", ""'target""]"
02063.txt,"[""'death"", ""'disaster"", ""'fatal"", ""'strategy"", ""'terrorism""]"
01067.txt,"[""'trap"", ""'die"", ""'strategy""]"
01364.txt,"[""'capture"", ""'coalition"", ""'target""]"
00718.txt,"[""'fight"", ""'retaliation"", ""'threat""]"
03605.txt,"[""'attack"", ""'death"", ""'destruction"", ""'injuries"", ""'overthrow"", ""'threat""]"
00844.txt,"[""'die"", ""'land"", ""'mayhem"", ""'war""]"
03473.txt,"[""'invasion"", ""'security"", ""'war""]"
03007.txt,"[""'assault"", ""'fight"", ""'injuries"", ""'terror""]"
02974.txt,"[""'attack"", ""'fight"", ""'strategist"", ""'strategy"", ""'target""]"
00479.txt,"[""'destroy"", ""'military"", ""'security""]"
04129.txt,"[""'attack"", ""'military"", ""'missile""]"
02022.txt,"[""'capture"", ""'dead"", ""'disaster"", ""'explosive"", ""'investigations"", ""'suspect"", ""'terrorism"", ""'terrorist"", ""'wreckage""]"
00791.txt,"[""'seize"", ""'satellite"", ""'strategic"", ""'threat"", ""'threaten""]"
03584.txt,"[""'explosion"", ""'mission"", ""'threat""]"
04345.txt,"[""'conspiracy"", ""'death"", ""'security"", ""'violence""]"
00949.txt,"[""'attack"", ""'military"", ""'missile""]"
03564.txt,"[""'death"", ""'mission"", ""'seize""]"
02902.txt,"[""'brutal"", ""'conspiracy"", ""'die"", ""'flee"", ""'guns"", ""'informant"", ""'guns"", ""'military"", ""'murder"", ""'threaten"", ""'vicious""]"
04202.txt,"[""'attack"", ""'land"", ""'military"", ""'proliferation"", ""'seize"", ""'satellite""]"
02939.txt,"[""'capture"", ""'dead"", ""'fight"", ""'fighter""]"
04261.txt,"[""'mission"", ""'strategy"", ""'war""]"
03860.txt,"[""'hostile"", ""'strategy"", ""'target""]"
02251.txt,"[""'deadly"", ""'death"", ""'fight"", ""'injuries"", ""'rocket"", ""'strategy"", ""'tactics"", ""'tragic""]"
02604.txt,"[""'explode"", ""'fight"", ""'military"", ""'strategist"", ""'strategy"", ""'war""]"
02816.txt,"[""'assault"", ""'attack"", ""'coalition"", ""'dead"", ""'death"", ""'devastation"", ""'disaster"", ""'fight"", ""'fighter"", ""'guided"", ""'guns"", ""'land"", ""'guns"", ""'military"", ""'missile"", ""'security"", ""'surrender"", ""'terrorist"", ""'threaten"", ""'war""]"
02954.txt,"[""'reconnaissance"", ""'tactics"", ""'target"", ""'threat"", ""'war""]"
01657.txt,"[""'mission"", ""'strategy"", ""'war""]"
00211.txt,"[""'attack"", ""'disease"", ""'radical""]"
00205.txt,"[""'fight"", ""'mission"", ""'strategist"", ""'strategy"", ""'tank"", ""'threat"", ""'war""]"
02519.txt,"[""'attack"", ""'escape"", ""'hostile"", ""'massacre"", ""'military"", ""'terrorist"", ""'war""]"
03796.txt,"[""'hostile"", ""'hostility"", ""'war""]"
00490.txt,"[""'destroy"", ""'disastrous"", ""'explosive"", ""'retaliation"", ""'threat""]"
03549.txt,"[""'coalition"", ""'mission"", ""'strategist""]"
03207.txt,"[""'explosion"", ""'fight"", ""'land"", ""'security"", ""'violence"", ""'war""]"
03392.txt,"[""'destroy"", ""'weapon"", ""'weapons""]"
02419.txt,"[""'capture"", ""'land"", ""'terrorist"", ""'wreckage""]"
03701.txt,"[""'coalition"", ""'dead"", ""'death"", ""'threat""]"
03933.txt,"[""'attack"", ""'disaster"", ""'rebel"", ""'security"", ""'strategy"", ""'threat""]"
03137.txt,"[""'die"", ""'military"", ""'murder"", ""'security""]"
00393.txt,"[""'capture"", ""'investigate"", ""'target""]"
04334.txt,"[""'attack"", ""'disaster"", ""'military"", ""'security"", ""'strangle"", ""'terrorist"", ""'threat"", ""'violence"", ""'war""]"
03608.txt,"[""'extremism"", ""'security"", ""'strategy"", ""'terrorism""]"
04243.txt,"[""'assault"", ""'attack"", ""'coalition"", ""'radical"", ""'war""]"
04080.txt,"[""'chaos"", ""'terror"", ""'terrorism""]"
03227.txt,"[""'capture"", ""'fight"", ""'germ"", ""'security"", ""'vociferous"", ""'war""]"
